Date	Land_LCBKK018
1978-12-31	-0.09006797247576792
1979-12-31	-0.08755680881206956
1980-12-31	-0.08505803625334747
1981-12-31	-0.0821405951772828
1982-12-31	-0.0796595490762348
1983-12-31	-1659.6795372034996
1984-12-31	-454.97442666155837
1985-12-31	-193.9076656596498
1986-12-31	-109.16012243325319
1987-12-31	-75.16382889685858
1988-12-31	-56.583531570961654
1989-12-31	-45.09029714236661
1990-12-31	-37.81063270277798
1991-12-31	-32.41585148583539
1992-12-31	-28.773412027571865
1993-12-31	335.5941942652109
1994-12-31	83.47689576017245
1995-12-31	11.463081338348857
1996-12-31	4.510436068924761
1997-12-31	2.938111518991704
1998-12-31	2.2440379666594623
1999-12-31	1.7797953930251964
2000-12-31	1.4588222884171387
2001-12-31	1.1884376476825054
2002-12-31	0.9689359666186448
2003-12-31	0.7971299482690597
2004-12-31	0.6510945177616634
2005-12-31	0.5323071626420983
2006-12-31	0.43730389957232774
2007-12-31	0.3555565607374689
2008-12-31	0.29336540137876455
2009-12-31	0.23909507986488165
2010-12-31	0.19540409536773495
2011-12-31	0.16077424690372766
2013-12-31	0.10737780108271977
2015-12-31	0.07172817802967302
2016-12-31	0.059177247733543936
2017-12-31	0.04814809935638209
2018-12-31	0.03941853431257414
