Date	0
1978-01-30	-9.292148441929355
1978-03-11	-9.34397001675169
1978-03-26	-10.492741434577562
1978-03-29	-9.40607974667811
1978-04-24	-10.667285935599194
1978-04-29	-11.985571927395748
1978-05-03	-10.083342910834823
1978-05-12	-8.85669540311119
1978-05-28	-9.13224189569575
1978-09-25	-12.704127744991098
1978-10-21	-11.890695826983578
1979-03-29	-10.859554690716305
1979-05-04	-10.402901467342438
1979-06-03	-9.84295621141263
1979-07-28	-8.918037555683664
1979-08-06	-7.720308026265267
1979-08-07	-9.045568364311105
1979-10-27	-5.71412715255013
1979-11-07	-6.909994223811893
1979-12-03	-5.41999764442197
1979-12-19	-7.3131809675833415
1980-02-04	-7.5342055788579865
1980-03-06	-6.342553122680534
1980-05-02	-5.651945930866178
1980-07-05	-4.85420819663741
1980-07-17	-5.569586222884248
1980-07-20	-5.928602329565415
1980-07-27	-2.547248441754229
1980-07-30	-4.466038464256583
1980-08-19	-4.391834156414809
1980-10-01	-4.424788683484758
1980-10-04	-4.889845512173066
1980-10-08	-4.3213776067463
1980-10-16	-4.364640832085152
1980-12-07	-3.7152943947238537
1980-12-22	-5.231065673568503
1981-01-11	-3.5213706040339274
1981-01-23	-4.434039549240776
1981-03-23	-7.306019037609641
1981-03-24	-5.6618920955538155
1981-03-31	-5.02991008431809
1981-04-22	-5.555559650492835
1981-05-08	-8.356342998502033
1981-05-16	-5.77552375233057
1981-05-22	-4.654944694738663
1981-05-26	-5.739060669810751
1981-08-04	-4.6048476523844
1981-10-24	-5.1427505497738295
1981-11-03	-2.1849747585889885
1981-11-07	-4.444735012138672
1981-11-13	-5.933583504067098
1981-11-14	-7.016098254657654
1982-01-09	-3.7669407385131297
1982-02-26	-4.777162508114552
1982-03-19	-5.314657816273246
1982-05-16	-5.810012520658302
1982-05-19	-2.2107793729681964
1982-06-01	-5.2614838789265805
1982-07-10	-5.546895108713816
1982-08-22	-7.136136759625738
1982-10-16	-6.2977268709962075
1982-10-22	-5.138192148139888
1982-10-26	-4.7472011894949215
1982-12-02	-5.065030347843193
1983-01-30	-4.74505443550046
1983-04-24	-6.606573167572309
1983-06-27	-4.009867246060439
1983-08-25	-4.856228234797226
1983-11-15	-4.159386903571672
1984-01-01	-5.374237344161956
1984-02-03	-5.201237962624984
1984-02-12	-5.117442280641081
1984-03-16	-4.40388029046623
1984-03-22	-5.963868196770797
1984-04-24	-5.289126241856306
1984-05-04	-6.798321778217409
1984-05-09	-3.613774300432161
1984-05-16	-6.52956979575071
1984-05-30	-4.608588719251097
1984-06-07	-3.4712755656258416
1984-06-09	-4.647316312652557
1984-07-09	-4.938825435011681
1984-08-19	-3.7298334267722906
1984-09-30	-6.5736321651763365
1984-10-18	-2.615972528141564
1985-06-02	-5.517691387372311
1985-09-26	-7.434611916995621
1985-12-03	-4.350865980682723
1986-02-24	-5.144822443257684
1986-02-26	-5.25968886870941
1986-03-17	-5.110176615004843
1986-03-28	-4.722552405235011
1986-06-01	-5.704817804335602
1986-07-23	-3.6584455425703704
1986-08-28	-5.266650121611571
1986-09-21	-4.7469900687433055
1987-01-12	-3.3323311028400937
1987-01-17	-4.144276694768105
1987-02-12	-5.813711563214668
1987-04-05	-5.159343821724353
1987-04-23	-5.891577167154982
1987-07-06	-6.29476158723416
1987-08-03	-4.401027393435191
1987-08-11	-5.767474969128086
1987-08-17	-5.002826148087552
1987-09-07	-4.636296955155785
1987-10-05	-4.744194994293782
1987-10-18	-2.3413193999841915
1987-11-27	-6.8339044045652875
1987-12-09	-5.241751756817001
1988-02-26	-4.102884507537844
1988-04-07	-5.279201917323589
1988-05-13	-3.8748727169789996
1988-07-23	-5.993380563612107
1988-08-22	-5.157186259850358
1988-09-10	-6.001233016357842
1989-03-13	-7.389275356366756
1989-04-18	-4.641078562685559
1989-05-09	-6.658902191865472
1989-07-27	-4.638301046085307
1989-08-07	-2.770676224102312
1989-08-12	-3.7314259284972833
1989-08-20	-4.889844403526027
1989-10-09	-4.733539845883993
1989-10-29	-5.332026173952958
1989-12-07	-5.180960283125944
1989-12-31	-7.7643469141946255
1990-03-17	-1.9091555176592596
1990-04-20	-3.303582274537745
1990-05-24	-6.442334935396807
1990-06-15	-7.279162958412136
1990-07-14	-5.177777015231275
1990-07-23	-5.663671052452684
1990-08-08	-6.126052250184934
1990-08-23	-5.4072949113567805
1990-10-26	-7.909343064336276
1990-11-02	-9.120714204776396
1990-12-09	-10.493266981317577
1991-03-25	-10.560093542802917
1991-04-18	-12.637665544165538
1991-06-09	-11.945514174234171
1991-08-20	-10.679007104766129
1991-09-03	-11.118605859373442
1991-09-04	-12.785670622951232
1991-09-17	-12.195658581106692
1991-10-08	-14.55212677365173
1991-11-03	-14.637964086191383
1991-11-29	-11.21753638690914
1991-11-30	-13.845409188163407
1991-12-07	-14.836200929344614
1992-01-28	-11.247721593875854
1992-02-10	-13.558637507344656
1992-02-13	-13.35039070724993
1992-03-31	-12.135921738396917
1992-05-08	-10.315778474941112
1992-07-01	-14.494052672112309
1992-07-30	-13.976324479570794
1992-08-22	-11.934017563602765
1992-08-26	-13.615239317386703
1992-08-28	-13.013873328818473
1992-09-28	-11.902867614315216
1992-10-03	-10.91841430433643
1992-11-10	-15.129760402783015
1992-11-25	-13.821428356109633
1992-11-29	-14.368211559541393
1992-12-14	-13.467244007488523
1993-01-15	-15.44405693224158
1993-03-29	-13.073517530899379
1993-04-25	-14.39386648446988
1993-05-04	-16.084143319785333
1993-09-05	-14.484931824637707
1993-10-02	-16.680298765529212
1993-10-04	-16.831377063726894
